Question	Answer	Marks
Explain meaningfulness in measurement	Measurement for understanding, control and improvement:-  -Measurement help us to understand what is happening during the development or maintenance.  -Measurement allows us to control what is happening on our projects.  -Measurement encourages us to improve our process and products.	1
Explain meaningfulness in measurement	-“Measurement is the process by which numbers or symbols are assigned to attributes of entities in the real world in such a way to describe then according to clearly defined rules.”	1
Explain meaningfulness in measurement	Depending on the method, measurements are classified into two types: Units of Measurements:  For any measurement, a number and unit are required. When we say that the time is 5 second, then we mean that the said time is 5 times a certain standard time called 1 second.  A unit is a selected magnitude of a physical variable in terms of which other magnitudes of the same variable can be expressed. Measurement without unit has no meaning.	1
Explain meaningfulness in measurement	Measurement in everyday life:-  -Measurement is used in economics to determine price and pay increases.  -Measurement in radar system enables to detect aircraft.  -Measurement is also used in medical system to help the doctors to diagnose specific disease.  -Measurement in weather system are used to predict weather.	1
Explain meaningfulness in measurement	Measurement is the assignment of a number to a characteristic of an object or event, which can be compared with other objects or events. The scope and application of measurement are dependent on the context and discipline.  -Taking proper medicine. If you an illness (whether serious or minor) you need to take your medicine and take it in the proper amount. If you take too little or too much then you are not going to get the proper benefit from it.  -Cooking properly. Cooking of all forms is based on proper attention to measurement.	1
Explain the objectives for software measurement with the perspective of manager and engineer	-“Measurement is the process by which numbers or symbols are assigned to attributes of entities in the real world in such a way to describe then according to clearly defined rules.”  -Measurement captures information about attributes of entities.	1
Explain the objectives for software measurement with the perspective of manager and engineer	-Software engineering includes various activities like managing, planning, costing, analyzing, specifying, designing, testing and maintenance.	1
Explain the objectives for software measurement with the perspective of manager and engineer	If your developers are not producing high-quality code or not meeting architecture standards, then numerous problems are likely to surface during or after application implementation. These include increased IT costs, additional maintenance efforts, and reduced security within a complex infrastructure. Software measurement and metrics provide an accurate, objective approach to evaluating these key factors. By having objective metrics, you can more easily identify improvement areas and monitor each effort made toward better development practices.	1
Explain the objectives for software measurement with the perspective of manager and engineer	Software Metrics is a collective term used to describe the very wide range of activities concerned with measurement in software engineering  Measurement is the process by which numbers or symbols are assigned to attributes of entities in the real world in such a way as to describe them according to clearly defined unambiguous rules.	1
Explain the objectives for software measurement with the perspective of manager and engineer	All of these entities have internal as well as external entities.  Internal attributes are those that can be measured purely in terms of the process, product, or resources itself. For example: Size, complexity, dependency among modules.  External attributes are those that can be measured only with respect to its relation with the environment. For example: The total number of failures experienced by a user, the length of time it takes to search the database and retrieve information.	1
What is representational theory of measurement Explain in detail	There are many representational theory for measurement, some of them are as given below  (i)Empirical relation:-There are three types of Empirical relation depending upon the relation we define either on single element (entity) of a set or on collection of elements.  (a)Unary relation:-We define Empirical relation on individual (single) element or entity.	1
What is representational theory of measurement Explain in detail	(i)Representation condition of measurement:-  -Representation condition states that a measurement mapping M should map entities in numbers and Empirical relations in numerical relation in such a way that the Empirical relations are maintained and are maintained by the mathematical relations.  -Here, In the above example of height of two people, the “taller than” is mapped to the numerical relation “>”.	1
What is representational theory of measurement Explain in detail	The Representational Condition of Measurement:-  The representational condition asserts that a measurement mapping (M) must map entities into numbers, and empirical relations into numerical relations in such a way that the empirical relations preserve and are preserved by numerical relations.	1
What is representational theory of measurement Explain in detail	"In the representational theory, measurement is defined as ""the correlation of numbers with entities that are not numbers”.  The concept of measurement is often misunderstood as merely the assignment of a value, but it is possible to assign a value in a way that is not a measurement in terms of the requirements of additive conjoint measurement."	1
What is representational theory of measurement Explain in detail	The process by which numbers or symbols are assigned to attributes of entities in the real world in such a way as to describe them according to clearly defined rules.  The  idea behind the representational theory of measurement is elaborated in the following observations.	1
what is software metrics Explain scope of software metrics in detail	Software metrics is a term that provides many activities, all of which involves some degree of software measurement:-  (i)Cost and effort estimation:-  -We have to use cost and effort estimation models to predict the cost of project during earlier phases of software development life cycle.  -for example Boehm’s Cocomo model.	1
what is software metrics Explain scope of software metrics in detail	(i)Performance evaluation and models:-  -Performance is one of the most important feature of quality.  -The evaluation of the performance includes characteristics such as response time and completion rates.  -The evaluation of the performance covers the internal working of system as well as efficiency of the complexity of the algorithms.	1
what is software metrics Explain scope of software metrics in detail	(i)Quality Models and measures:-  -Quality models like Bohems quality model and MaCall quality model, and productivity models can be used together for higher accuracy.  -These models almost always are constructed in a tree-like manner with the upper branches indicating the highest level quality factors of any software product such as reliability, usability, etc.  - every quality factor consists of low level criteria like structure, traceability, etc.  - criteria helps in understanding and measuring the factors.	1
what is software metrics Explain scope of software metrics in detail	A software metric is a measure of software characteristics which are quantifiable or countable. Software metrics are important for many reasons, including measuring software performance, planning work items, measuring productivity, and many other uses.	1
what is software metrics Explain scope of software metrics in detail	Software development metrics are quantitative measurements of a software product or project, which can help management understand software performance, quality, or the productivity and efficiency of software teams.  Types of Software Metrics  Formal code metrics—Such as Lines of Code (LOC), code complexity, Instruction Path Length, etc. In modern development environments, these are considered less useful.	1
Explain meaningfulness in measurement	“Measurement is the process by which numbers or symbols are assigned to attributes of entities in the real world in such a way to describe then according to clearly defined rules.”  -Measurement captures information about attributes of entities.  Measurement in everyday life:-  -Measurement is used in economics to determine price and pay increases.  -Measurement in weather system are used to predict the weather.  -Measurement in radar system enables us to detect aircraft.  -Measurement is also used in medical system to help the doctors to diagnose specific disease.  Measurement making the things measurable:-  -Measuring makes nonmeasurable things measurable.	2
